ProjectNo,SFP_m3perTonWasteIn,CoDigested,Present_Other,Present_Manure,Present_FW,Present_IBW,Present_GW,Present_BW,Capacity_tpy,ActualInput_tpy,Digester_Box,Digester_PlugFlow,Digester_WetFerm,Digester_Other,Digester_SingleStage,Temp_Meso,Pre_Crushing,Pre_Screening,Pre_ManualSorting,Pre_MagneticSorting,Pre_SubstanceSeparation,Pre_SandRemoval,Pre_Slurrying,Pre_Other,Pre_TotalSteps,Pasteurization,Dewatering,MarketedCompost_tpy,MarketedLiqDig_tpy,ElCap_kW,Use_Heating,Use_Electricity,Use_MicroGasGrid,Use_GasFeedIn,Use_Other,State,Input_Other_Pct,Input_Manure_Pct,Input_FW_Pct,Input_IndustryBW_Pct,Input_GreenWaste_Pct,Input_BW_Pct,Capacity_tpd,ActualInput_tpd,Capacity_Pct,Year commissioned
26,2,1,0,0,0,0,0,1,10000,7265,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,4200,0,191,1,1,0,0,0,Bayern,0,0,0,0,0,100,27.4,19.9,0.73,2006
27,1,2,0,0,0,0,1,1,16100,,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,260,1,1,0,0,0,Niedersachsen,0,0,0,0,60,40,44.11,,,2013
28,2,2,1,0,0,0,1,0,31000,10000,1,0,0,0,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,265,1,1,0,0,0,Bayern,60,0,0,0,40,0,84.93,27.4,0.32,2011
29,3,1,0,0,0,0,0,1,40000,29431,0,1,0,0,1,0,1,1,0,1,0,0,1,0,4,0,1,15986,11379,921,1,1,0,0,0,Bayern,0,0,0,0,0,100,109.59,80.63,0.74,1997
30,4,2,0,0,1,1,0,0,18000,18000,0,0,1,0,0,1,1,0,1,0,1,1,1,0,5,1,0,0,18000,890,1,1,0,0,0,Baden-Württemberg,0,0,70,30,0,0,49.32,49.32,1,2008
31,3,2,0,0,0,0,1,1,18000,17000,0,1,0,0,1,0,1,1,1,1,1,0,1,0,6,0,0,30000,0,680,1,1,0,0,0,Nordrhein-Westfalen,0,0,0,0,20,80,49.32,46.58,0.94,2011
32,1,4,1,0,0,1,1,1,23500,20759,1,0,0,0,1,1,0,0,1,0,0,0,1,0,2,0,0,8000,0,660,1,1,0,0,0,Thüringen,5,0,0,1,4,90,64.38,56.87,0.88,2009
33,4,3,0,0,1,1,0,1,18000,17160,0,0,1,0,0,1,1,0,0,0,1,1,0,0,3,1,1,0,0,1065,1,1,0,0,0,Bayern,0,0,25,50,0,25,49.32,47.01,0.95,1998
34,2,,0,0,0,0,0,0,48000,,1,0,0,0,1,0,1,1,0,1,0,0,0,0,3,0,0,0,0,1200,1,1,0,0,0,Rheinland-Pfalz,,,,,,,131.51,,,2012
35,,2,0,0,0,0,1,1,25915,,0,1,0,0,1,0,1,1,1,1,0,0,0,0,4,0,1,0,0,800,1,1,0,0,0,Bayern,0,0,0,0,29,71,71,,,2014
36,3,2,1,0,0,0,0,1,55000,38700,0,1,0,0,1,0,1,1,0,1,1,0,1,1,6,0,1,23000,13000,5300,1,1,0,0,0,Hessen,2,0,0,0,0,98,150.68,106.03,0.7,2008
37,3,2,0,0,0,0,1,1,22875,22943,0,1,0,0,1,0,1,1,0,1,1,0,1,0,5,0,1,7394,0,738,1,1,0,0,0,Rheinland-Pfalz,0,0,0,0,25,75,62.67,62.86,1,1999
38,3,3,0,0,0,1,1,1,,18024,0,1,0,0,1,0,1,1,0,1,1,0,1,0,5,0,0,15623,0,680,1,1,0,0,0,Hessen,0,0,0,4,3,93,,49.38,,1999
39,4,1,1,0,0,0,0,0,205000,170000,0,0,1,0,1,1,1,1,0,0,1,0,1,0,4,1,1,0,0,5100,1,0,0,1,0,Hessen,100,0,0,0,0,0,561.64,465.75,0.83,2007
40,4,3,1,1,0,0,0,1,45000,36000,0,1,0,0,1,0,1,1,0,1,0,0,1,0,4,0,1,5500,18000,1800,1,1,0,0,0,Baden-Württemberg,6,4,0,0,0,90,123.29,98.63,0.8,1998
41,2,5,1,1,1,1,1,0,18000,18000,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,17000,690,1,1,0,0,0,Bayern,33,15,33,2,17,0,49.32,49.32,1,1996
42,3,,0,0,0,0,0,0,18000,,0,1,0,0,1,0,1,1,0,1,0,0,0,0,3,0,1,4000,12000,550,1,0,1,0,0,Baden-Württemberg,,,,,,,49.32,,,2012
43,4,3,0,1,1,1,0,0,18000,18000,0,0,1,0,1,1,1,1,1,0,0,0,0,0,3,1,0,0,15000,734,1,1,0,0,0,Hessen,0,22,55,23,0,0,49.32,49.32,1,1996
44,4,,0,0,0,0,0,0,6000,,0,0,1,1,1,1,1,1,0,0,1,1,1,0,5,1,1,0,0,0,1,0,0,0,0,Bayern,,,,,,,16.44,,,2014
45,2,2,0,0,1,1,0,0,40000,15000,0,0,1,0,0,1,1,0,0,0,1,1,1,1,5,1,0,0,0,1400,1,0,0,1,0,Baden-Württemberg,0,0,27,73,0,0,109.59,41.1,0.38,2012
46,3,3,1,0,1,1,0,0,73000,49676,1,0,0,0,1,1,1,1,0,0,1,0,0,0,3,1,0,0,39886,1886,1,1,0,0,0,Sachsen-Anhalt,12,0,72,16,0,0,200,136.1,0.68,1999
47,3,4,1,0,1,1,0,1,17500,17500,0,0,1,0,0,1,1,1,0,0,1,1,1,1,6,1,1,3000,9200,500,1,1,0,0,0,Nordrhein-Westfalen,3,0,22,13,0,62,47.95,47.95,1,2004
48,,2,0,0,0,0,1,1,22500,19199,0,0,1,0,0,1,1,0,0,0,1,0,0,1,3,0,0,0,0,252,1,1,0,0,0,Niedersachsen,0,0,0,0,25,75,61.64,52.6,0.85,2007
49,1,3,1,0,1,1,0,0,110000,110000,0,0,1,0,1,1,1,1,1,1,1,1,1,0,7,1,1,0,95000,1600,1,0,0,1,0,Brandenburg,64,0,9,27,0,0,301.37,301.37,1,1995
50,3,2,0,0,0,0,1,1,18250,15848,0,1,0,0,1,0,1,1,0,1,0,0,0,0,3,0,1,12000,5300,590,1,0,0,0,1,Niedersachsen,0,0,0,0,15,85,50,43.42,0.87,2011
51,3,3,0,1,1,1,0,0,32500,,0,0,1,0,0,1,1,0,0,0,1,0,1,0,3,1,0,0,0,0,0,0,0,1,0,Hessen,0,34,22,44,0,0,89.04,,,2012
52,3,3,0,0,0,1,1,1,32000,,0,1,0,0,1,0,1,1,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,Hessen,0,0,0,10,8,82,87.67,,,2013
53,2,2,0,0,0,0,1,1,30000,,1,0,0,0,1,0,1,1,0,1,1,0,0,0,4,0,0,0,0,800,1,1,0,0,0,Nordrhein-Westfalen,0,0,0,0,20,80,82.19,,,2012
54,2,5,1,0,1,1,1,1,110000,85000,1,0,1,0,0,1,0,1,0,0,1,0,0,0,2,1,0,9000,50000,1896,1,1,0,0,0,Sachsen-Anhalt,5,0,15,62,3,15,301.37,232.88,0.77,2006
55,4,1,0,0,1,0,0,0,20000,18927,0,0,1,0,1,1,1,0,0,0,1,0,1,0,3,1,0,0,20150,1000,1,1,0,0,0,Hamburg,0,0,100,0,0,0,54.79,51.85,0.95,2006
56,,,0,0,0,0,0,0,,,1,0,0,0,1,0,1,0,0,0,1,1,1,0,4,0,1,0,0,0,1,1,0,0,0,Baden-Württemberg,,,,,,,,,,2001
57,4,1,0,0,1,0,0,0,32000,27523,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1400,1,0,0,0,1,Brandenburg,0,0,100,0,0,0,87.67,75.41,0.86,2006
58,3,5,1,0,1,1,1,1,18000,15500,1,0,0,0,1,1,1,1,0,0,0,0,0,0,2,0,0,5000,1500,610,1,1,0,0,0,Brandenburg,10,0,10,10,45,25,49.32,42.47,0.86,2011
59,2,,0,0,0,0,0,0,32000,,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,750,1,1,0,0,0,Hessen,0,0,0,0,0,0,87.67,,,2014
60,2,2,0,0,0,0,1,1,40000,40000,1,0,0,0,1,1,1,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,Nordrhein-Westfalen,0,0,0,0,20,80,109.59,109.59,1,2009
61,2,1,0,0,0,0,0,1,18000,12680,0,1,0,0,1,0,1,1,0,1,1,0,0,0,4,1,1,1795,11321,800,1,1,0,0,0,Rheinland-Pfalz,0,0,0,0,0,100,49.32,34.74,0.7,2008
62,3,1,0,0,0,0,0,1,18000,,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,527,1,1,0,0,0,Baden-Württemberg,0,0,0,0,0,100,49.32,,,2013
63,3,2,0,0,0,0,1,1,20000,19600,0,1,0,0,1,0,1,1,0,1,1,0,0,0,4,0,1,10000,8000,625,1,1,0,0,0,Hessen,0,0,0,0,25,75,54.79,53.7,0.98,2007
64,1,4,1,1,1,1,0,0,18250,16000,0,0,1,0,0,1,1,0,0,0,0,1,1,1,4,1,0,0,16000,230,1,1,0,0,0,Mecklenburg-Vorpommern,6,50,12,32,0,0,50,43.84,0.88,1997
65,2,1,0,0,0,0,0,1,16000,7856,0,0,1,0,1,1,1,0,0,1,1,1,1,0,5,0,1,2712,0,380,1,1,0,0,0,Baden-Württemberg,0,0,0,0,0,100,43.84,21.52,0.49,1997
66,3,2,0,0,0,0,1,1,18000,18000,0,1,0,0,1,0,1,1,1,0,0,0,1,0,4,0,1,5500,0,930,1,1,0,0,0,Bayern,0,0,0,0,25,75,49.32,49.32,1,2009
67,,,0,0,0,0,0,0,30000,,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,18000,3000,0,0,0,0,1,0,Hessen,,,,,,,82.19,,,2014
68,1,1,0,0,0,0,0,1,35000,30407,0,0,1,0,0,1,1,0,0,1,1,1,0,0,4,1,1,0,0,630,1,1,0,0,0,Bayern,0,0,0,0,0,100,95.89,83.31,0.87,1997
69,,2,0,0,1,1,0,0,17500,17500,0,0,1,0,1,1,1,0,0,0,1,0,0,1,3,1,0,0,0,960,1,0,0,0,0,Baden-Württemberg,0,0,50,50,0,0,47.95,47.95,1,1993
70,,1,0,0,1,0,0,0,57000,36000,0,0,1,0,1,1,1,1,0,0,1,1,0,1,5,1,0,0,0,3400,1,1,0,0,0,Mecklenburg-Vorpommern,0,0,100,0,0,0,156.16,98.63,0.63,2003
71,4,2,1,0,0,0,1,0,15200,14552,1,0,0,0,0,1,1,0,1,0,0,0,0,1,3,0,1,1800,200,540,1,1,0,0,0,Baden-Württemberg,49,0,0,0,51,0,41.64,39.87,0.96,2006
72,4,2,0,0,0,0,1,1,30000,20000,0,1,0,0,1,0,1,1,0,1,1,0,0,0,4,1,1,8000,11000,938,1,1,0,0,0,Nordrhein-Westfalen,0,0,0,0,15,85,82.19,54.79,0.67,2000
73,4,2,0,0,0,0,1,1,36500,33485,0,1,0,0,1,0,1,1,0,1,1,0,1,0,5,0,0,11918,0,2213,1,1,0,0,0,Baden-Württemberg,0,0,0,0,15,85,100,91.74,0.92,2004
74,3,1,0,0,0,0,0,1,55000,34051,0,1,0,0,1,1,1,1,0,1,1,0,1,0,5,0,1,11174,0,1829,1,0,0,0,1,Nordrhein-Westfalen,0,0,0,0,0,100,150.68,93.29,0.62,1997
75,1,2,0,0,0,0,1,1,16100,,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,365,1,1,0,0,0,Niedersachsen,0,0,0,0,60,40,44.11,,,2013
76,1,2,0,0,0,0,1,1,23000,21600,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,10000,0,450,1,0,1,0,0,Hessen,0,0,0,0,5,95,63.01,59.18,0.94,2011
77,2,3,1,0,1,1,0,0,76500,58000,0,0,1,0,1,1,1,0,0,0,1,1,0,0,3,1,0,0,50000,2042,1,0,0,0,1,Mecklenburg-Vorpommern,5,0,90,5,0,0,209.59,158.9,0.76,2007
